,id,current_sign_in_at,last_sign_in_at,grade_id,timezone,Регион,Муниципалитет,Школа
0,665767,2026-03-15T15:33:15.048512+03:00,2026-03-12T13:15:39.12217+03:00,3006,Asia/Chita,Амурская область,Магдагачинский р-н,SCHOOL-F96A-D5C4-668F
1,665788,2026-02-08T11:13:01.236225+03:00,2026-01-12T10:24:34.363164+03:00,3006,Asia/Yakutsk,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC
2,667623,2026-03-21T12:08:30.14426+03:00,2026-03-15T17:08:29.196545+03:00,3006,Europe/Moscow,Владимирская область,г Ковров,SCHOOL-47BF-00AD-F2F5
3,667888,2025-12-17T11:29:16.633259+03:00,2025-12-14T10:46:17.817219+03:00,3006,Asia/Yekaterinburg,Курганская область,г Курган,SCHOOL-6F1D-E04F-0A04
4,668076,2025-11-17T14:19:35.937592+03:00,2025-11-04T20:57:16.132378+03:00,3009,Europe/Moscow,Владимирская область,поселок Мелехово,SCHOOL-592B-9835-D09C
5,669160,2026-03-24T12:41:16.550285+03:00,2026-03-21T09:25:08.180063+03:00,3006,Asia/Yekaterinburg,Свердловская область,г Краснотурьинск,SCHOOL-F28F-B4C6-5FAB
6,670642,2026-02-24T10:24:00.003266+03:00,2026-02-05T06:35:45.455871+03:00,3006,Europe/Moscow,Чувашская Республика - Чувашия,Комсомольский р-н,SCHOOL-1911-6B4B-5BA2
7,671753,2026-03-22T07:34:14.475984+03:00,2026-03-09T14:36:50.297154+03:00,3006,Asia/Yekaterinburg,Пермский край,Карагайский муниципальный округ,SCHOOL-7A11-9526-5A5A
8,672661,2026-03-23T07:18:00.932446+03:00,2026-03-22T14:30:04.575886+03:00,3006,Europe/Moscow,Тульская область,г Алексин,SCHOOL-F97C-A14E-9346
9,674171,2026-02-27T05:20:52.45836+03:00,2026-02-13T04:26:12.13685+03:00,3009,Asia/Krasnoyarsk,Томская область,Томский р-н,SCHOOL-976B-5C2C-3C5C
