,user_id,training_id,solved_tasks_count,earned_points,type,state,submitted_answers_count,started_at,finished_at,attempts,mark,mark_saved_at
0,665767,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-10-31T13:02:02.663436+03:00,2025-10-31T13:07:24.739121+03:00,1,2,2025-10-31T13:07:24.729036+03:00
1,665767,2357,5,4.8,UserTrainings::LessonTraining,checked,5,2026-02-01T06:58:58.026885+03:00,2026-02-01T07:06:12.262605+03:00,1,5,2026-02-01T07:06:12.254662+03:00
2,665788,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-10-27T09:16:25.246527+03:00,2025-10-27T09:20:40.054595+03:00,1,2,2025-10-27T09:20:40.047007+03:00
3,667623,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-10-21T18:46:58.126886+03:00,2025-10-21T18:55:08.326674+03:00,1,2,2025-10-21T18:55:08.31822+03:00
4,667623,2357,5,5.0,UserTrainings::LessonTraining,checked,5,2026-02-26T15:20:48.32524+03:00,2026-02-26T15:34:17.12841+03:00,1,5,2026-02-26T15:34:17.119574+03:00
5,669160,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-11-09T19:00:31.305733+03:00,2025-11-09T19:06:11.163586+03:00,1,2,2025-11-09T19:06:11.154925+03:00
6,669160,2357,5,5.0,UserTrainings::LessonTraining,checked,5,2026-03-05T16:22:56.397295+03:00,2026-03-05T16:33:47.989786+03:00,1,5,2026-03-05T16:33:47.982837+03:00
7,669160,2359,5,5.0,UserTrainings::LessonTraining,checked,5,2026-03-05T16:59:21.017256+03:00,2026-03-05T17:06:10.203357+03:00,1,5,2026-03-05T17:06:10.194832+03:00
8,670642,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-11-18T16:59:55.163261+03:00,2025-11-18T17:04:13.76263+03:00,1,2,2025-11-18T17:04:13.753989+03:00
9,671753,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-11-25T15:01:55.302535+03:00,2025-11-25T15:07:24.064608+03:00,1,2,2025-11-25T15:07:24.055432+03:00
10,671753,2362,5,5.0,UserTrainings::LessonTraining,checked,5,2026-02-10T12:58:03.270895+03:00,2026-02-10T13:04:24.803099+03:00,1,5,2026-02-10T13:04:24.794041+03:00
11,671753,2357,5,3.8,UserTrainings::LessonTraining,checked,5,2026-02-17T14:40:02.500907+03:00,2026-02-17T14:46:19.262408+03:00,1,4,2026-02-17T14:46:19.25345+03:00
12,671753,2359,5,5.0,UserTrainings::LessonTraining,checked,5,2026-02-17T14:47:04.195355+03:00,2026-02-17T14:49:41.342739+03:00,1,5,2026-02-17T14:49:41.333269+03:00
13,672661,2355,7,0.0,UserTrainings::RegularTraining,checked,7,2025-12-04T15:17:14.497186+03:00,2025-12-04T15:21:58.026773+03:00,1,2,2025-12-04T15:21:58.016831+03:00
14,672661,2359,5,4.0,UserTrainings::LessonTraining,checked,5,2026-01-31T09:36:54.78381+03:00,2026-01-31T09:41:53.287373+03:00,1,4,2026-01-31T09:41:53.27829+03:00
15,672661,2362,5,5.0,UserTrainings::LessonTraining,checked,5,2026-02-19T14:46:02.193028+03:00,2026-02-19T14:48:38.639874+03:00,1,5,2026-02-19T14:48:38.629056+03:00
16,672661,2357,5,4.0,UserTrainings::LessonTraining,checked,5,2026-02-22T09:28:30.262463+03:00,2026-02-22T09:35:11.31844+03:00,1,4,2026-02-22T09:35:11.30842+03:00
17,674171,2357,5,3.2,UserTrainings::LessonTraining,checked,5,2026-02-13T05:37:04.710236+03:00,2026-02-13T05:38:57.306341+03:00,3,3,2026-02-13T05:38:57.296194+03:00
